x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
5.378965,9.753669,2.042744,5.170419,7.479246,3.257831,1.571373,10.25086,3.690036,10.459024
